county,White,Black or African American,American Indian or Alaska Native,Hispanic,Laotian or Hmong,Other Asian or Pacific Islander,Non-Hispanic other,Non-Hispanic two or more races
All,42486,5679,510,6951,1221,1346,268,1449
Adams,100,0,0,5,0,0,0,0
Ashland,133,0,17,6,0,0,0,11
Barron,394,16,0,16,0,0,0,10
Bayfield,96,0,11,6,0,0,0,5
Brown,2053,139,75,484,100,40,18,85
Buffalo,124,0,0,0,0,0,0,0
Burnett,83,0,5,0,0,0,0,0
Calumet,400,5,0,39,10,6,0,6
Chippewa,618,0,0,10,7,5,0,6
Clark,496,0,0,64,0,0,0,5
Columbia,517,5,0,32,0,6,0,9
Crawford,152,0,0,7,0,0,0,0
Dane,3900,492,13,608,107,261,42,155
Dodge,644,7,0,78,0,5,0,8
Door,161,0,0,21,0,0,0,0
Douglas,370,6,8,8,0,0,0,14
Dunn,377,0,0,13,15,0,0,6
Eau Claire,914,13,0,44,71,26,0,21
Florence,21,0,0,0,0,0,0,0
Fond du Lac,750,43,0,151,9,0,0,20
Forest,66,0,16,5,0,0,0,0
Grant,529,7,0,22,0,5,0,6
Green,314,0,0,23,0,5,0,0
Green Lake,186,0,0,18,0,0,0,0
Iowa,236,0,0,6,0,0,0,0
Iron,41,0,0,0,0,0,0,0
Jackson,183,0,8,7,0,0,0,0
Jefferson,663,0,0,101,0,7,0,13
Juneau,213,0,0,7,0,0,0,0
Kenosha,1046,176,0,330,0,36,0,61
Kewaunee,181,0,0,15,0,0,0,0
La Crosse,904,23,0,35,77,19,0,20
Lafayette,214,0,0,41,0,0,0,0
Langlade,153,0,0,5,0,0,0,0
Lincoln,239,0,0,6,0,0,0,0
Manitowoc,537,27,5,79,36,0,0,7
Marathon,1168,19,5,89,144,20,0,17
Marinette,338,7,0,21,0,0,0,6
Marquette,111,0,0,9,0,0,0,0
Menominee,6,0,51,5,0,0,0,0
Milwaukee,3953,3837,34,2406,281,427,156,425
Monroe,498,6,0,53,0,0,0,6
Oconto,301,5,12,17,0,0,0,8
Oneida,231,0,8,7,0,0,0,0
Outagamie,1691,71,25,147,82,37,0,26
Ozaukee,738,17,0,33,0,29,0,17
Pepin,77,0,0,0,0,0,0,0
Pierce,368,0,0,16,0,0,0,5
Polk,354,0,7,11,0,0,0,9
Portage,463,13,0,48,16,7,0,10
Price,82,0,0,0,0,7,0,0
Racine,1212,363,0,413,0,32,0,89
Richland,145,0,0,13,0,0,0,0
Rock,1290,108,0,282,0,15,0,69
Rusk,116,0,0,5,0,0,0,0
St. Croix,939,0,0,45,0,9,0,17
Sauk,612,11,8,75,0,6,0,15
Sawyer,88,0,29,6,0,0,0,15
Shawano,318,0,50,33,0,0,0,18
Sheboygan,787,35,0,143,99,33,6,27
Taylor,211,0,0,14,0,0,0,0
Trempealeau,266,0,0,86,0,5,0,6
Vernon,407,0,0,6,0,0,0,0
Vilas,121,0,34,9,0,0,0,0
Walworth,716,6,0,153,0,7,0,16
Washburn,106,0,0,0,0,0,0,0
Washington,1116,22,0,65,18,22,0,27
Waukesha,3176,71,0,252,22,176,5,55
Waupaca,429,0,5,22,0,0,0,0
Waushara,160,0,0,26,0,0,0,0
Winnebago,1290,84,9,89,81,23,9,30
Wood,591,0,9,44,12,11,0,10
